"reactor.ID","IPL.num","User","Type.1","Type.2","sample.ID","group.num","rep.num","Date.Time","Data.File","IPL.ID","Name.full","flag.major","flag.analysis","primes","comments","version","d17O","d.17O","d17O.err","d18O","d.18O","d18O.err","CAP.17O","CAP17O.err","d33","d33.err","d34","d34.err","d35","d35.err","d36","d36.err","X33.mismatch.R2","X34.mismatch.R2","d.18O.prelim","test.d.18O.prelim","flag.d18O","flag","reactor.segment","d33.smow_ref","d34.smow_ref","d17O.slap","d18O.slap","dp17O.final","dp18O.final","D17O.final","D17O.per.meg"
"2116-2234",2117,NA,"WaterStd","SMOW","SMOW",1,2,"2015-06-05 00:00:00",NA,"JHU-17O-2117",NA,NA,0,0,"session.name, June_2015, session.numeric, 2015_06, Reduction.ID, NA, CDW.num, NA, sample.descrip, VSMOW2-052013-2a, replicate.set, 1, project, NA, flag_normalize, 0, flag notes, changed to include, don't see justification for leaving it out, comments, NA, O2.yield, NA, O2.resid, NA, comments, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.9680142857143,0.0187473614430566,-34.3660714285714,0.0144756881927685,NA,NA,NA,NA,-17.9680142857143,-34.3660714285714,-34.3660714285714,0.172785714285801,0,0,1,0.154419856890131,0.270730965560073,0.161474611812769,0.282738213387877,0.16146157619095,0.282698250471731,0.0121968999418759,12.1968999418759
"2116-2234",2118,NA,"WaterStd","SMOW","SMOW",1,3,"2015-06-06 00:00:00",NA,"JHU-17O-2118",NA,NA,0,0,"session.name, June_2015, session.numeric, 2015_06, Reduction.ID, NA, CDW.num, NA, sample.descrip, VSMOW2-052013-2a, replicate.set, 1, project, NA, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, NA, O2.resid, NA, comments, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.9746571428571,0.0211344116084946,-34.3649571428571,0.0230452835341137,NA,NA,NA,NA,-17.9746571428571,-34.3649571428571,-34.3649571428571,0.00111428571430139,0,0,1,0.133845121631504,0.245921578593267,0.139959908613678,0.25682849991372,0.139950115139372,0.256795525120426,0.00436207787578699,4.36207787578699
"2116-2234",2119,NA,"WaterStd","SMOW","SMOW",1,4,"2015-06-06 00:00:00",NA,"JHU-17O-2119",NA,NA,0,0,"session.name, June_2015, session.numeric, 2015_06, Reduction.ID, NA, CDW.num, NA, sample.descrip, VSMOW2-052013-2a, replicate.set, 1, project, NA, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, NA, O2.resid, NA, comments, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.0646285714286,0.0259560226897655,-34.5186285714286,0.00845477556258414,NA,NA,NA,NA,-18.0646285714286,-34.5186285714286,-34.5186285714286,0.153671428571499,0,0,1,0.0422146240453003,0.0867421651815636,0.0441432220429191,0.0905892857807926,0.0441422477594708,0.0905851828192008,-0.00368672876906721,-3.68672876906721
"2116-2234",2121,NA,"WaterStd","SLAP","SLAP",1,2,"2015-06-06 00:00:00",NA,"JHU-17O-2121",NA,NA,0,0,"session.name, June_2015, session.numeric, 2015_06, Reduction.ID, NA, CDW.num, NA, sample.descrip, SLAP2-051613-1b, replicate.set, 1, project, NA, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, NA, O2.resid, NA, comments, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,-45.6607428571429,0.023015864543917,-85.3189428571429,0.0265034237407026,NA,NA,NA,NA,-45.6607428571429,-85.3189428571429,-85.3189428571429,0.0181285714285053,0,0,1,-28.0627707429184,-52.5343878932828,-29.3448336461519,-54.8643519356732,-29.7840062536009,-56.4268188644807,0.00935410684487437,9.35410684487437
"2116-2234",2122,NA,"WaterStd","SLAP","SLAP",1,3,"2015-06-07 00:00:00",NA,"JHU-17O-2122",NA,NA,0,0,"session.name, June_2015, session.numeric, 2015_06, Reduction.ID, NA, CDW.num, NA, sample.descrip, SLAP2-051613-1b, replicate.set, 1, project, NA, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, NA, O2.resid, NA, comments, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,-45.8286142857143,0.0307775058350159,-85.6302857142857,0.0468906043730297,NA,NA,NA,NA,-45.8286142857143,-85.6302857142857,-85.6302857142857,0.311342857142805,0,0,1,-28.247154949364,-52.8814740524353,-29.5376415450829,-55.2268317884208,-29.9826628491968,-56.8104139396194,0.0132357109222312,13.2357109222312
"2116-2234",2125,NA,"CO2Std","Tank#2 CO2","Tank#2 CO2",1,3,"2015-06-09 00:00:00",NA,"JHU-17O-2125",NA,NA,0,0,"session.name, June_2015, session.numeric, 2015_06, Reduction.ID, JHU-CDW-614, CDW.num, 614, sample.descrip, Tank #2 CO2, replicate.set, 1, project, NA, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, NA, O2.resid, NA, comments, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.28484285714286,0.0174651916466628,-6.53577142857143,0.0102224127566484,NA,NA,NA,NA,-3.28484285714286,-6.53577142857143,-6.53577142857143,0.308714285714291,0,0,1,15.0524936519851,28.9924505112198,15.7401749892685,30.2783009779493,15.6175831726803,29.8289608696383,-0.13210816648874,-132.10816648874
"2116-2234",2126,NA,"CO2Std","Tank#2 CO2","Tank#2 CO2",1,4,"2015-06-09 00:00:00",NA,"JHU-17O-2126",NA,NA,0,0,"session.name, June_2015, session.numeric, 2015_06, Reduction.ID, JHU-CDW-615, CDW.num, 615, sample.descrip, Tank #2 CO2, replicate.set, 1, project, NA, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, NA, O2.resid, NA, comments, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.16378571428572,0.0246446589193382,-6.30771428571428,0.00841348616700604,NA,NA,NA,NA,-3.16204499703185,-6.30771428571428,-6.30771428571428,0.228057142857151,0,0,1,15.1757779763488,29.2286634231056,15.8690916248628,30.5249902199707,15.7444940289023,30.0683716316973,-0.131606192633928,-131.606192633928
"2116-2234",2144,NA,"CarbonateStd","NBS-18","NBS-18",1,3,"2015-06-13 00:00:00",NA,"JHU-17O-2144",NA,NA,0,0,"session.name, June_2015, session.numeric, 2015_06, Reduction.ID, JHU-CDW-633, CDW.num, 633, sample.descrip, NBS-18, replicate.set, 1, project, NA, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, NA, O2.resid, NA, comments, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.5375428571429,0.0259294951041494,-22.1432142857143,0.0159727057567759,NA,NA,NA,NA,-11.5381444114335,-22.1432142857143,-22.1432142857143,0.661428571428601,0,0,1,6.5923715775249,12.721716002805,6.89354764888657,13.2859395910621,6.86989578391785,13.1984555158642,-0.0988887284584656,-98.8887284584656
"2116-2234",2146,NA,"WaterStd","SMOW","SMOW",2,6,"2015-06-13 00:00:00",NA,"JHU-17O-2146",NA,NA,0,0,"session.name, June_2015, session.numeric, 2015_06, Reduction.ID, NA, CDW.num, NA, sample.descrip, VSMOW2-052013-2a, replicate.set, 2, project, NA, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, NA, O2.resid, NA, comments, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.2135285714286,0.0232314887683373,-34.7901571428571,0.00942035371852877,NA,NA,NA,NA,-18.2135285714286,-34.7901571428571,-34.7901571428571,0.427799999999998,0,0,1,-0.206061933227253,-0.376146444526104,-0.215475984419112,-0.392828997146669,-0.215499202704379,-0.392906174669529,-0.00804474247886808,-8.04474247886808
"2116-2234",2147,NA,"WaterStd","SMOW","SMOW",2,7,"2015-06-13 00:00:00",NA,"JHU-17O-2147",NA,NA,0,0,"session.name, June_2015, session.numeric, 2015_06, Reduction.ID, NA, CDW.num, NA, sample.descrip, VSMOW2-052013-2a, replicate.set, 2, project, NA, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, NA, O2.resid, NA, comments, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.1548,0.0244045612272717,-34.6876142857143,0.0102650283708043,NA,NA,NA,NA,-18.1548,-34.6876142857143,-34.6876142857143,0.102542857142801,0,0,1,-0.146256189906935,-0.269947479844879,-0.152937983275299,-0.281919979127637,-0.152949679481223,-0.281959726035421,-0.00407494413452059,-4.07494413452059
