"d18O.accept","D17O.accept","avg.D17O","avg.D17O.resid","n","SD"
0,0,0,0,8,7
-55.5,0,0,0,8,7
NA,NA,NA,NA,NA,NA
-2.27,12,19,7,4,4
NA,NA,NA,NA,NA,NA
-19.8,40,35,-5,5,6
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,-67,-59,8,6,8
-2.32,-100,-100,0,11,8
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
