"d18O.accept","D17O.accept","avg.D17O","avg.D17O.resid","n","SD"
0,0,0,0,14,6
-55.5,0,0,0,15,20
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
-29.83,20,20,0,5,4
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,-67,-68,-1,16,12
-2.32,-100,-97,3,6,6
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,-100,-104,-4,5,15
