"d18O.accept","D17O.accept","avg.D17O","avg.D17O.resid","n","SD"
0,0,0,0,5,13
-55.5,0,0,0,5,18
NA,NA,NA,NA,NA,NA
-2.27,12,30,18,3,19
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
-2.23,26,45,19,1,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
