reactor.file.number,last.update,numSeg,prefer.auto,prefer.auto.seg1,prefer.auto.seg2,prefer.auto.seg3,prefer.auto.seg4,prefer.auto.seg5,prefer.user,prefer.user.seg1,prefer.user.seg2,prefer.user.seg3,prefer.user.seg4,prefer.user.seg5
1,20200526,0,2,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999
2,20200526,0,2,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999
3,20200526,2,3,2,2,-9999,-9999,-9999,3,2,2,-9999,-9999,-9999
4,20200526,2,3,2,2,-9999,-9999,-9999,3,2,2,-9999,-9999,-9999
5,20200526,0,2,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999
6,20200526,0,2,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999
7,20200526,0,2,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999
8,20200526,0,2,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999
9,20200526,0,2,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999
10,20200526,2,3,2,2,-9999,-9999,-9999,3,2,2,-9999,-9999,-9999
11,20200526,0,2,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999
12,20200526,0,2,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999
13,20200526,2,3,2,2,-9999,-9999,-9999,3,2,2,-9999,-9999,-9999
14,20200526,0,2,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999
15,20201006,2,3,2,2,-9999,-9999,-9999,3,1,2,-9999,-9999,-9999
16,20201022,0,2,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999
