"d18O.accept","D17O.accept","avg.D17O","avg.D17O.resid","n","SD"
0,0,0,0,12,12
-55.5,0,0,0,11,11
NA,NA,NA,NA,NA,NA
-2.27,12,16,4,4,12
NA,NA,NA,NA,NA,NA
-19.8,40,34,-6,4,7
-2.23,26,33,7,6,1
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
