"d18O.accept","D17O.accept","avg.D17O","avg.D17O.resid","n","SD"
0,0,0,0,8,4
-55.5,0,0,0,8,11
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
-29.83,20,14,-6,5,4
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,-67,-73,-6,9,8
-2.32,-100,-95,5,5,6
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,-100,-106,-6,4,11
