"Type.1","Type.2","sample.ID","n","avg.dp17O","avg.dp18O","avg.D17O","sd.dp17O","sd.dp18O","sd.D17O"
"Water","WaterEvap","2015KCl_evap_0.3","1","8.21549892741379","15.8356947533259","-145.747902342272",NA,NA,NA
"Carbonate","soil carbonate","BUR MH 30Buff","1","18.2283089337248","34.5235308733473","-115.367402541881",NA,NA,NA
"Carbonate","soil carbonate","SHP 80 XTLN","2","18.4981716237637","35.0346376414893","-117.050942601161","0.0693560027539344","0.13136151623802","2.87781975622808"
"Carbonate","soil carbonate","RCWMA LD 129-140A","2","17.5519497449304","33.2425728371756","-128.713098335753","0.00542389920453518","0.0102717035906666","0.439708699933223"
"Carbonate","soil carbonate","RCWMA LD 129-140E","2","17.9246522849383","33.9484206255962","-113.80537649323","0.215372881797499","0.407880794466404","11.822319253847"
"Carbonate","Lake Junin carbonate","pp409","2","16.7607381045217","31.7440639333667","-127.652295862207","0.861788599864503","1.63219039804813","7.93030494053856"
"Carbonate","Lake Junin carbonate","pp399","2","15.2156258873355","28.8176954514599","-117.311035328325","0.132389786250264","0.250732079848315","3.24809031686415"
"Carbonate","Lake Junin carbonate","pp445","2","15.2131481258811","28.8130110751722","-121.721809833159","0.39445312826001","0.747059131988422","5.90657010699866"
"Carbonate","Lake Junin carbonate","pp434","1","17.7088083315735","33.5396797311266","-142.56646134574",NA,NA,NA
"Carbonate","Lake Junin carbonate","pp426","4","18.0220404643998","34.1329211008638","-141.876856310472","0.483645090418667","0.916010753818661","8.66452424833466"
"Carbonate","Lake Junin carbonate","pp439","2","17.3023861430545","32.769920946853","-132.116883816575","0.506122543386462","0.958558882764107","3.4532869899494"
"O2Ref","O2 zero","O2 zero","3","19.0442516817814","36.6661986601753","-315.5012107912","0.588008524098155","1.13928454470222","14.7782111415623"
"Water","Spring","Eliye Spring, Lake Turkana","2","1.99860837186704","3.78240329333449","1.49943298643396","0.11990774905495","0.248224733891966","11.154910440007"
"Water","lake","Lake Turkana Water","4","2.11454794280713","4.00238728078311","1.28745855364382","0.394054973955254","0.760143066149563","7.37119684273822"
"Carbonate","Lake Junin carbonate","pp421","5","17.5244791067776","33.1905722216706","-143.026264544867","0.249996922596222","0.473458210584004","11.5145936776037"
"Carbonate","Lake Junin carbonate","pp405","4","16.373047190753","31.0098195680557","-137.541180319462","0.56210486338809","1.06459424547128","7.44300945128457"
"Carbonate","Lake Junin carbonate","pp435","2","18.7727028909231","35.5546713605748","-163.587460326191","0.890037808183622","1.68567720867923","0.242001020334366"
"Carbonate","Lake Junin carbonate","pp415","3","17.8825626160018","33.8687653747114","-145.501845790958","0.91608496343583","1.735026021243","13.6732281950282"
"Carbonate","Kora Graben - core","62Q1W-43-45A","2","19.0030671148819","35.9908927701368","-124.267750348289","0.194041417206267","0.367486447395623","8.57298133305728"
"Carbonate","Kora Graben - core","62Q1W-43-45B","2","21.3067985273019","40.3540647826032","-147.677912594954","0.185810751288054","0.351917911313382","1.90588541903683"
"Carbonate","Kora Graben - core","61Q3-61.5-64.5","2","21.4100851436562","40.5496838631667","-147.936095851364","0.157691475320731","0.298656277907531","0.960585579953319"
"Carbonate","Kora Graben - core","61Q1-7-10","2","20.516406117389","38.8571184809363","-152.44054543647","1.23611349891418","2.34111532590941","4.60683403777826"
"Carbonate","Kora Graben - core","62Q2W-15-16","2","19.0046647044877","35.9939141418731","-121.962421345325","0.175132859675517","0.331696600204887","2.94523267088507"
"O2 ref gas","reduction line","O2 ref gas reduction line","4","16.0127405362129","30.8831680353227","-293.572186437454","0.75947640701618","1.43513130775254","2.22277606104765"
"O2 ref gas","reduction line","O2 ref gas reduced","1","15.3527332001172","29.6136009234603","-283.248087469815",NA,NA,NA
"Carbonate","sandstone","II 193(1)","2","18.3286924471918","34.7137381056791","-161.272606692963","0.788278870915251","1.49293823077564","7.48506569437874"
"Carbonate","CaCO3","75Ro36DW1","2","24.2192755657467","45.8702978829804","-241.716466888356","0.222467356145816","0.421350943860481","5.9422125260944"
"Carbonate","CaCO3","21K1DW1","2","22.8601743688081","43.2961569691852","-196.510921678396","1.00075520967492","1.89537737846906","4.04615676552987"
"Carbonate","CaCO3","II-16-1","2","22.3732407673024","42.3738304519569","-141.711330747883","0.264603304464973","0.501140154812222","1.30272413773101"
"Carbonate","Kora Graben - core","63Q2W-33-34A","2","20.1366558181391","38.1378533650896","-130.758628219344","0.872255587757378","1.65201999808692","10.9712325254081"
"Carbonate","Kora Graben - core","55Q2-126-127B","2","19.3121278210208","36.5762613969125","-138.196549029095","0.218280661349055","0.413420150328793","5.17802452275387"
"Carbonate","Kora Graben - core","67Q2-129-131","9","18.6260984211188","35.2769681905725","-140.783503486568","1.07808131696939","2.04183437731039","26.2728985927791"
"Carbonate","Kora Graben - core","67Q1-35-36","2","21.1934258800401","40.1393520292772","-151.991418284626","0.16915005392127","0.320359202165658","0.395177867091877"
"Carbonate","Kora Graben - core","71Q2-50.5-53.5","2","19.485626871328","36.9048758956303","-147.6015647798","0.383048584231926","0.725470788042572","0.00814547899657947"
"Carbonate","Baltic mollusk","59A197-99","4","18.7542001000157","35.5195806506149","-138.483508974113","0.768700138938399","1.45585501653291","17.2935907719521"
"Carbonate","marine carbonate","59A898-100-1","4","16.9278452334992","32.0606046322943","-154.012352202072","0.924093166171583","1.75018364338026","7.00025069137962"
"Carbonate","marine carbonate","59A1215-18","3","17.9168894929187","33.9337732760131","-142.796816201618","0.582617573472611","1.10348803189019","29.9213845038287"
"Carbonate","marine carbonate","59A1351.5-55","2","17.683215971194","33.4912292017602","-153.047335313282","0.582005242449058","1.10232157327596","20.54824063099"
"Carbonate","marine carbonate","59A11198-100","2","18.7851712959453","35.5782458861794","-142.531957398022","0.0279764726835237","0.0529566918529815","15.339385073437"
"Water","marine water","12-BSLD0","2","-3.42496534295631","-6.51345885713723","14.1409336121434","0.0330225978323631","0.0556335654322927","3.6480752841111"
"Water","marine water","6-BSLD150","2","-3.37592696053384","-6.42046630897534","14.0792506051422","0.0953257531518953","0.193739619474174","6.96876593046805"
"Water","marine water","1-BSLD150","2","-3.20290111258887","-6.10335382169295","19.6697052650041","0.211960588067291","0.401076264027222","0.192320660924794"
"Water","marine water","13-BSKagg","2","-4.04658149102394","-7.72266754370328","30.9869720513862","0.347176903575317","0.626417798399819","16.4283060202122"
"Water","marine water","15-BSHors","2","-3.88650071712313","-7.39978958956779","20.5881861686685","0.282993209115546","0.543340855233236","3.89076244760201"
"Water","marine water","18-BSKanholm","2","-3.62549412481132","-6.91712685183635","26.7488529582731","0.629568551690718","1.17265328363142","10.4076179333277"
"Carbonate","Kora Graben - core","61Q3-38-41","2","19.9708543410907","37.823963368077","-198.317253939876","0.273530795463018","0.518038029703622","6.71577949871009"
"Carbonate","Kora Graben - core","64Q1-84.5-87.5","2","20.0229079615109","37.9225182340226","-181.666053040354","0.00983025161763635","0.0186240546731868","3.24924979578348"
"Carbonate","Kora Graben - core","61Q3-2-2.5","2","21.8617322759962","41.405186624294","-206.261631012753","0.0755309729716886","0.14306158733798","5.54514270975655"
"Carbonate","Kora Graben - core","61Q2-21-24","2","21.9549921148238","41.5818039411189","-200.366087004893","0.278873917633774","0.528156445643991","7.31433367867182"
"Carbonate","Kora Graben - core","63Q1-88-91","2","23.215422065826","43.9690474978739","-235.01305141003","0.386431396543222","0.731897215505228","10.3332435699098"
"Carbonate","Kora Graben - core","48Q1-3.5-6.5","2","21.0723490767596","39.9101182524036","-193.360509516005","0.00147585034561359","0.00279451792554317","0.344880920096376"
"Carbonate","Kora Graben - core","59Q1-120-123","1","20.3664896498827","38.5732282218271","-174.85124202598",NA,NA,NA
"Carbonate","Kora Graben - core","78Q2-43.5-46.5","2","19.9299699180488","37.7464675329284","-164.939337358565","0.445395595272707","0.843540069164162","6.43875401356443"
"Carbonate","Kora Graben - core","62Q2-106-107B","1","20.6567634326943","39.1229684238843","-163.895116570625",NA,NA,NA
"Carbonate","Kora Graben - core","60Q2-75.5-78.5","2","20.984235344795","39.743220513873","-185.086529930569","0.0828229844024801","0.156823498485575","20.1772020809824"
"Carbonate","Kora Graben - core","60A3344-47","2","21.8809352527898","41.4414946993051","-173.948443326114","0.140946755886727","0.266927670494233","8.94586578864484"
"Carbonate","Kora Graben - core","63Q1-62-64","1","21.9598488957971","41.5911447357899","-275.524699973076",NA,NA,NA
"Carbonate","Kora Graben - core","60A7137-40","2","21.5305216499482","40.7778518178569","-184.109880124787","0.149227286243649","0.282634196592898","3.56955741762445"
"Carbonate","Kora Graben - core","60A7726-29","1","22.0202262850085","41.7053223504988","-183.916054856813",NA,NA,NA
"Carbonate","Kora Graben - core","63Q1-85-86.5","1","23.7863597709532","45.0503474185696","-223.666051589568",NA,NA,NA
"Carbonate","Kora Graben - core","63Q1-61-62","1","24.7081273715427","46.7961638394647","-247.135694681788",NA,NA,NA
