"reactor.ID","IPL.num","User","Type.1","Type.2","sample.ID","group.num","rep.num","Date.Time","Data.File","IPL.ID","Name.full","flag.major","flag.analysis","primes","comments","version","d17O","d.17O","d17O.err","d18O","d.18O","d18O.err","CAP.17O","CAP17O.err","d33","d33.err","d34","d34.err","d35","d35.err","d36","d36.err","X33.mismatch.R2","X34.mismatch.R2","d.18O.prelim","test.d.18O.prelim","flag.d18O","flag","reactor.segment","d33.smow_ref","d34.smow_ref","d17O.slap","d18O.slap","dp17O.final","dp18O.final","D17O.final","D17O.per.meg"
"1586-1671",1591,NA,"WaterStd","SMOW","SMOW",1,2,"2014-04-27 00:00:00",NA,"JHU-17O-1591",NA,NA,0,0,"session.name, April_2014_2, session.numeric, 2014_04_2, Reduction.ID, NA, CDW.num, NA, sample.descrip, VSMOW2-052113-1, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, 334, O2.resid, 58, comments, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.2398405797101,0.0645050438493915,-34.7507246376812,0.0870072485246073,NA,NA,NA,NA,-18.1985282653513,-34.695787190867,-34.7507246376812,0.449275362318801,0,0,1,-0.0426259481381974,-0.0453968397704507,-0.0441832471931773,-0.0470118794119925,-0.0441842233015484,-0.0470129845050669,-0.0193613674828731,-19.3613674828731
"1586-1671",1592,NA,"WaterStd","SMOW","SMOW",1,3,"2014-04-27 00:00:00",NA,"JHU-17O-1592",NA,NA,0,0,"session.name, April_2014_2, session.numeric, 2014_04_2, Reduction.ID, NA, CDW.num, NA, sample.descrip, VSMOW2-052113-1, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, 376, O2.resid, 58, comments, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.1863333333333,0.0926128352600327,-34.7119855072464,0.120499388911512,NA,NA,NA,NA,-18.1793269222462,-34.7030488322745,-34.7119855072464,0.0387391304347986,0,0,1,0.0118730708598136,-0.00526485232488216,0.0123068423731123,-0.00545215490485344,0.0123067666446254,-0.00545216976793418,0.0151855122820947,15.1855122820947
"1586-1671",1593,NA,"WaterStd","SMOW","SMOW",1,4,"2014-04-27 00:00:00",NA,"JHU-17O-1593",NA,NA,0,0,"session.name, April_2014_2, session.numeric, 2014_04_2, Reduction.ID, NA, CDW.num, NA, sample.descrip, VSMOW2-052113-1, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, 338, O2.resid, 60, comments, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.1677971014493,0.0305597677222776,-34.658,0.0328611159453914,NA,NA,NA,NA,-18.1271265381539,-34.6047873423132,-34.658,0.0539855072464022,0,0,1,0.0307528772784949,0.0506616920952219,0.0318764048201801,0.0524640343167309,0.0318758967783678,0.0524626581273755,0.00417561328711358,4.17561328711358
"1586-1671",1594,NA,"Water","leaf water","Mpala leaf",1,1,"2014-04-27 00:00:00",NA,"JHU-17O-1594",NA,NA,0,0,"session.name, April_2014_2, session.numeric, 2014_04_2, Reduction.ID, NA, CDW.num, NA, sample.descrip, 10, replicate.set, NA, project, Mpala, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, 364, O2.resid, 65, comments, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.5054057971014,0.0916212341880128,-33.3293333333333,0.172765538729659,NA,NA,NA,NA,-17.5054057971014,-33.3293333333333,-33.3293333333333,1.3286666666667,0,0,1,0.70542180016675,1.42710027983739,0.731193724329006,1.47787085188705,0.730926532435901,1.47677987550876,-0.0488132418327213,-48.8132418327213
"1586-1671",1595,NA,"Water","leaf water","Mpala leaf",1,2,"2014-04-28 00:00:00",NA,"JHU-17O-1595",NA,NA,0,0,"session.name, April_2014_2, session.numeric, 2014_04_2, Reduction.ID, NA, CDW.num, NA, sample.descrip, 290A, replicate.set, NA, project, Mpala, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, 332, O2.resid, 96, comments, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.7972898550725,0.070153634229218,-34.0125652173913,0.0893630200956399,NA,NA,NA,NA,-17.7561393683863,-33.9583613695129,-34.0125652173913,0.683231884057996,0,0,1,0.411344076866937,0.720991427815898,0.426372147095419,0.746641445372679,0.426281276320418,0.746362847315369,0.0322016929379026,32.2016929379026
"1586-1671",1596,NA,"Water","leaf water","Mpala leaf",1,3,"2014-04-28 00:00:00",NA,"JHU-17O-1596",NA,NA,0,0,"session.name, April_2014_2, session.numeric, 2014_04_2, Reduction.ID, NA, CDW.num, NA, sample.descrip, 290A, replicate.set, NA, project, Mpala, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, 360, O2.resid, 85, comments, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.6810144927536,0.052503079112401,-33.7480869565217,0.0665389622990643,NA,NA,NA,NA,-17.6251168897433,-33.6736978514965,-33.7480869565217,0.264478260869595,0,0,1,0.52977501815743,0.994979409334684,0.549129851801334,1.0303768334003,0.548979135177182,1.02984635955165,0.00522025733391129,5.22025733391129
"1586-1671",1597,NA,"WaterStd","USGS45","USGS45",2,3,"2014-04-28 00:00:00",NA,"JHU-17O-1597",NA,NA,0,0,"session.name, April_2014_2, session.numeric, 2014_04_2, Reduction.ID, NA, CDW.num, NA, sample.descrip, USGS45-042414, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, 362, O2.resid, 81, comments, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.4682028985507,0.065574739511973,-37.0822898550725,0.0871602819437164,NA,NA,NA,NA,-19.4037230958012,-36.9954932144333,-37.0822898550725,3.3342028985508,0,0,1,-1.29054530543271,-2.4591098573753,-1.33769416832822,-2.54659524011668,-1.33858967987498,-2.54984332932603,0.00772759800916356,7.72759800916356
"1586-1671",1599,NA,"Water","leaf water","Mpala Leaf",1,2,"2014-04-28 00:00:00",NA,"JHU-17O-1599",NA,NA,0,0,"session.name, April_2014_2, session.numeric, 2014_04_2, Reduction.ID, NA, CDW.num, NA, sample.descrip, 16, replicate.set, NA, project, Mpala, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, 361, O2.resid, 82, comments, NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.694652173913,0.153804767967546,-29.8925507246377,0.191824945950685,NA,NA,NA,NA,-15.5931344338136,-29.7651479297294,-29.8925507246377,0.1258695652174,0,0,1,2.5529616543678,4.98914734726963,2.64623171510304,5.16664143681588,2.64273660850818,5.15334014062783,-0.07822698574331,-78.22698574331
"1586-1671",1601,NA,"Water","leaf water","Mpala Leaf",1,4,"2014-04-28 00:00:00",NA,"JHU-17O-1601",NA,NA,0,0,"session.name, April_2014_2, session.numeric, 2014_04_2, Reduction.ID, NA, CDW.num, NA, sample.descrip, 116A, replicate.set, NA, project, Mpala, flag_normalize, 0, flag notes, NA, comments, failed to pressure adjust, O2.yield, 321, O2.resid, 54, comments, failed to pressure adjust",NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.1313913043478,0.0440732069440433,-34.5819275362319,0.0464983614007875,NA,NA,NA,NA,-18.0645247640502,-34.4985598561459,-34.5819275362319,3.129652173913,0,0,1,0.0710488644068974,0.131156815401878,0.0736445680623218,0.135822855091061,0.0736418564341755,0.135813632002318,0.00193225873695174,1.93225873695174
"1586-1671",1611,NA,"WaterStd","USGS48","USGS48",1,1,"2014-04-30 00:00:00",NA,"JHU-17O-1611",NA,NA,0,0,"session.name, April_2014_2, session.numeric, 2014_04_2, Reduction.ID, NA, CDW.num, NA, sample.descrip, USGS48-012113, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, very high D17O, O2.yield, 364, O2.resid, 85, comments, very high D17O",NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.5427536231884,0.0589774148689196,-37.278884057971,0.0629966236798086,NA,NA,NA,NA,-19.5025449229337,-37.2337400749545,-37.278884057971,0.338376811594202,0,0,1,-1.36005648011928,-2.65940733561942,-1.40974486861781,-2.75401850881452,-1.41073949380348,-2.7578177949274,0.0453883019181887,45.3883019181887
