"d18O.accept","D17O.accept","avg.D17O","avg.D17O.resid","n","SD"
0,0,0,0,8,4
-55.5,0,0,0,8,6
NA,NA,NA,NA,NA,NA
-2.27,12,10,-2,4,9
NA,NA,NA,NA,NA,NA
-19.8,40,40,0,2,5
-2.23,26,28,2,2,7
-50.55,NA,12,NA,6,6
NA,NA,NA,NA,NA,NA
NA,-67,-60,7,4,14
-2.32,-100,-100,0,5,7
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
