"reactor.ID","IPL.num","User","Type.1","Type.2","sample.ID","group.num","rep.num","Date.Time","Data.File","IPL.ID","Name.full","flag.major","flag.analysis","primes","comments","version","d17O","d.17O","d17O.err","d18O","d.18O","d18O.err","CAP.17O","CAP17O.err","d33","d33.err","d34","d34.err","d35","d35.err","d36","d36.err","33.mismatch.R2","34.mismatch.R2","d.18O.prelim"
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1863-1906",1820,,"fossil eggshell","dinosaur",,0,,"2014-10-02 00:00:00",,"JHU-17O-1920",,,0,,"session.name, Sep_2014_2, session.numeric, 2014_09_2, Reduction.ID, JHU-CDW-475, CDW.num, NA, sample.descrip, BC975, replicate.set, NA, project, eggshells, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, 357, O2.resid, 65, comments, NA",,,,,,,,,,6.08435714285714,0.0299381176807954,11.4705857142857,0.0107736835264816,,,,,6.08319168175192,11.4705857142857,11.4705857142857
"1863-1906",1821,,"fossil eggshell","dinosaur",,0,,"2014-10-02 00:00:00",,"JHU-17O-1921",,,0,,"session.name, Sep_2014_2, session.numeric, 2014_09_2, Reduction.ID, JHU-CDW-476, CDW.num, NA, sample.descrip, BC975, replicate.set, NA, project, eggshells, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, 281, O2.resid, 50, comments, NA",,,,,,,,,,5.93477142857143,0.0356025448644919,11.2054142857143,0.0108954090280356,,,,,5.93810772516238,11.2054142857143,11.2054142857143
"1863-1906",1862.5,,,,,0,,"1/00/1900 0:00",,"***New CoF3***",,,,,"session.name, Sep_2014_2, session.numeric, 2014_09_2, Reduction.ID, NA, CDW.num, NA, sample.descrip, NA, replicate.set, NA, project, NA, flag_normalize, NA, flag notes, NA, comments, NA, O2.yield, NA, O2.resid, NA, comments, NA",,,,,,,,,,,,,,,,,,,,
"1863-1906",1863,,"WaterStd","SMOW","SMOW",1,1,"2014-09-23 00:00:00",,"JHU-17O-1863",,,0,,"session.name, Sep_2014_2, session.numeric, 2014_09_2, Reduction.ID, NA, CDW.num, NA, sample.descrip, VSMOW-2-052013-2b, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, 336, O2.resid, 65, comments, NA",,,,,,,,,,-17.8580142857143,0.0197583171679293,-34.1571857142857,0.0184487483233905,,,,,-17.8580142857143,-34.1571857142857,-34.1571857142857
"1863-1906",1864,,"WaterStd","SMOW","SMOW",1,2,"2014-09-24 00:00:00",,"JHU-17O-1864",,,0,,"session.name, Sep_2014_2, session.numeric, 2014_09_2, Reduction.ID, NA, CDW.num, NA, sample.descrip, VSMOW-2-052013-2b, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, 342, O2.resid, 50, comments, NA",,,,,,,,,,-17.7752142857143,0.0257495703395379,-33.9939,0.0226262320506885,,,,,-17.7752142857143,-33.9939,-33.9939
"1863-1906",1865,,"WaterStd","SMOW","SMOW",1,3,"2014-09-24 00:00:00",,"JHU-17O-1865",,,0,,"session.name, Sep_2014_2, session.numeric, 2014_09_2, Reduction.ID, NA, CDW.num, NA, sample.descrip, 2014-GSL-JRW, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, 342, O2.resid, 50, comments, NA",,,,,,,,,,-20.0982857142857,0.0406961675570347,-38.2802714285714,0.0761086030728314,,,,,-20.0982857142857,-38.2802714285714,-38.2802714285714
"1863-1906",1866,,"Water","river",,0,,"2014-09-24 00:00:00",,"JHU-17O-1866",,,0,,"session.name, Sep_2014_2, session.numeric, 2014_09_2, Reduction.ID, NA, CDW.num, NA, sample.descrip, 2014-BearR-001W, replicate.set, NA, project, western lakes, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, 342, O2.resid, 60, comments, NA",,,,,,,,,,-25.7838428571429,0.0210820589390536,-48.9336,0.0155091370918353,,,,,-25.7838428571429,-48.9336,-48.9336
"1863-1906",1867,,"Water",,,0,,"2014-09-24 00:00:00",,"JHU-17O-1867",,,0,,"session.name, Sep_2014_2, session.numeric, 2014_09_2, Reduction.ID, NA, CDW.num, NA, sample.descrip, 2014-RushC-W1, replicate.set, NA, project, western lakes, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, 342, O2.resid, 60, comments, NA",,,,,,,,,,-24.9295,0.0250117363755846,-47.3478714285714,0.0210808804291645,,,,,-24.9295,-47.3478714285714,-47.3478714285714
"1863-1906",1868,,"Water","open pan",,0,,"2014-09-24 00:00:00",,"JHU-17O-1868",,,0,,"session.name, Sep_2014_2, session.numeric, 2014_09_2, Reduction.ID, NA, CDW.num, NA, sample.descrip, Mix-openpan-0.6-01a, replicate.set, NA, project, open pan, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, 342, O2.resid, 60, comments, NA",,,,,,,,,,-23.716,0.0258518633869923,-43.0086285714286,0.0124913551887441,,,,,-23.716,-43.0086285714286,-43.0086285714286
