"reactor.ID","IPL.num","User","Type.1","Type.2","sample.ID","group.num","rep.num","Date.Time","Data.File","IPL.ID","Name.full","flag.major","flag.analysis","primes","comments","version","d17O","d.17O","d17O.err","d18O","d.18O","d18O.err","CAP.17O","CAP17O.err","d33","d33.err","d34","d34.err","d35","d35.err","d36","d36.err","33.mismatch.R2","34.mismatch.R2","d.18O.prelim"
"981-1103",981.5,,,,,0,,"1/00/1900 0:00",,"***new CoF3 reactor***",,,,,"session.name, June_2013_1, session.numeric, 2013_06_1, Reduction.ID, NA, CDW.num, NA, sample.descrip, NA, replicate.set, NA, project, NA, flag_normalize, NA, flag notes, NA, comments, NA, O2.yield, NA, O2.resid, NA, comments, NA",,,,,,,,,,,,,,,,,,,,
"981-1103",982,,"WaterStd","USGS45","USGS45",1,2,"2013-05-30 00:00:00",,"JHU-17O-982",,,0,,"session.name, June_2013_1, session.numeric, 2013_06_1, Reduction.ID, NA, CDW.num, NA, sample.descrip, USGS45-012513, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, 341, O2.resid, 105, comments, NA",,,,,,,,,,-19.1663913043478,0.0225513905866424,-36.5858550724638,0.0159837006705899,,,,,-19.1627512826046,-36.5783115326801,-36.5858550724638
"981-1103",982,,"WaterStd","USGS45","USGS45",0,,"2013-05-30 00:00:00",,"JHU-17O-983",,,0,,"session.name, June_2013_1, session.numeric, 2013_06_1, Reduction.ID, NA, CDW.num, NA, sample.descrip, USGS45-012513, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, 332, O2.resid, 102, comments, NA",,,,,,,,,,-19.1995217391304,0.0364714266465797,-36.6388405797101,0.0439915176277016,,,,,-19.1995217391304,-36.6388405797101,-36.6388405797101
"981-1103",984,,"WaterStd","SMOW","SMOW",1,1,"2013-05-30 00:00:00",,"JHU-17O-984",,,0,,"session.name, June_2013_1, session.numeric, 2013_06_1, Reduction.ID, NA, CDW.num, NA, sample.descrip, VSMOW2-052013-4, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, 345, O2.resid, 104, comments, NA",,,,,,,,,,-17.8173188405797,0.0226660492117896,-34.0400579710145,0.0125485926770939,,,,,-17.8173188405797,-34.0400579710145,-34.0400579710145
"981-1103",985,,"WaterStd","SMOW","SMOW",1,2,"2013-05-30 00:00:00",,"JHU-17O-985",,,0,,"session.name, June_2013_1, session.numeric, 2013_06_1, Reduction.ID, NA, CDW.num, NA, sample.descrip, VSMOW2-052013-4, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, 387, O2.resid, 120, comments, NA",,,,,,,,,,-18.0039275362319,0.0247061071519834,-34.3720869565218,0.0109902886683107,,,,,-18.0032324055899,-34.3719024918097,-34.3720869565218
"981-1103",986,,"Water","leaf water","A. brevispica, Hippo Pool",1,1,"2013-05-31 00:00:00",,"JHU-17O-986",,,0,,"session.name, June_2013_1, session.numeric, 2013_06_1, Reduction.ID, NA, CDW.num, NA, sample.descrip, 206A, replicate.set, NA, project, Mpala, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, 346, O2.resid, 114, comments, NA",,,,,,,,,,-13.0421594202899,0.0268293206533042,-24.8976376811594,0.0137380654243138,,,,,-13.0376428907014,-24.8976376811594,-24.8976376811594
"981-1103",987,,"Water","Mpala leaf, spatial","Grass, KLEE",1,1,"2013-05-31 00:00:00",,"JHU-17O-987",,,0,,"session.name, June_2013_1, session.numeric, 2013_06_1, Reduction.ID, NA, CDW.num, NA, sample.descrip, 95A, replicate.set, NA, project, Mpala, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, 262, O2.resid, 45, comments, NA",,,,,,,,,,-13.5007971014493,0.0272669697350782,-25.7717101449275,0.0119337650600345,,,,,-13.4777793939538,-25.7621547666223,-25.7717101449275
"981-1103",988,,,,,0,,"1/00/1900 0:00",,"***missing ID? ***",,,,,"session.name, June_2013_1, session.numeric, 2013_06_1, Reduction.ID, NA, CDW.num, NA, sample.descrip, NA, replicate.set, NA, project, NA, flag_normalize, NA, flag notes, NA, comments, NA, O2.yield, NA, O2.resid, NA, comments, NA",,,,,,,,,,,,,,,,,,,,
"981-1103",989,,"Water","Mpala leaf, spatial","Grass, KLEE",1,2,"2013-05-31 00:00:00",,"JHU-17O-989",,,0,,"session.name, June_2013_1, session.numeric, 2013_06_1, Reduction.ID, NA, CDW.num, NA, sample.descrip, 224A, replicate.set, NA, project, Mpala, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, 318, O2.resid, 111, comments, NA",,,,,,,,,,-13.0001884057971,0.025311166660493,-24.8787971014493,0.0119712642584414,,,,,-12.9973710439265,-24.8764650097073,-24.8787971014493
"981-1103",990,,"Water","Mpala stem, spatial","Grass, Hippo Pool",1,1,"2013-05-30 00:00:00",,"JHU-17O-990",,,0,,"session.name, June_2013_1, session.numeric, 2013_06_1, Reduction.ID, NA, CDW.num, NA, sample.descrip, 43A, replicate.set, NA, project, Mpala, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, 343, O2.resid, 159, comments, NA",,,,,,,,,,-17.6354202898551,0.0236546263334167,-33.750115942029,0.0117692723447974,,,,,-17.6354202898551,-33.7493855724832,-33.750115942029
"981-1103",991,,"WaterStd","SMOW","SMOW",2,3,"2013-05-31 00:00:00",,"JHU-17O-991",,,0,,"session.name, June_2013_1, session.numeric, 2013_06_1, Reduction.ID, NA, CDW.num, NA, sample.descrip, VSMOW2-052013-4, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, 332, O2.resid, 120, comments, NA",,,,,,,,,,-18.0836956521739,0.0311374109901796,-34.5542608695652,0.0150691076416325,,,,,-18.0829596248647,-34.5538945687493,-34.5542608695652
"981-1103",992,,"Water","Mpala leaf, spatial","grass, Hippo Pool",1,1,"2013-05-31 00:00:00",,"JHU-17O-992",,,0,,"session.name, June_2013_1, session.numeric, 2013_06_1, Reduction.ID, NA, CDW.num, NA, sample.descrip, 257A, replicate.set, NA, project, Mpala, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, 388, O2.resid, 90, comments, NA",,,,,,,,,,-10.9366086956522,0.0278521397379007,-20.9298695652174,0.0127023770858732,,,,,-10.9186167607757,-20.9237200174961,-20.9298695652174
"981-1103",993,,"Water","Mpala leaf, spatial","grass, Hippo Pool",1,2,"2013-06-01 00:00:00",,"JHU-17O-993",,,0,,"session.name, June_2013_1, session.numeric, 2013_06_1, Reduction.ID, NA, CDW.num, NA, sample.descrip, 257A, replicate.set, NA, project, Mpala, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, 365, O2.resid, 124, comments, NA",,,,,,,,,,-11.0243768115942,0.0272440503214897,-21.1448695652174,0.00967092830187181,,,,,-11.0240349667726,-21.1448369979865,-21.1448695652174
