"reactor.ID","IPL.num","User","Type.1","Type.2","sample.ID","group.num","rep.num","Date.Time","Data.File","IPL.ID","Name.full","flag.major","flag.analysis","primes","comments","version","d17O","d.17O","d17O.err","d18O","d.18O","d18O.err","CAP.17O","CAP17O.err","d33","d33.err","d34","d34.err","d35","d35.err","d36","d36.err","33.mismatch.R2","34.mismatch.R2","d.18O.prelim"
"1209-1301",1208.5,,,,,0,,"1/00/1900 0:00",,"***new CoF3 reactor***",,,,,"session.name, July_2013, session.numeric, 2013_07, Reduction.ID, NA, CDW.num, NA, sample.descrip, NA, replicate.set, NA, project, NA, flag_normalize, NA, flag notes, NA, comments, NA, O2.yield, NA, O2.resid, NA, comments, NA",,,,,,,,,,,,,,,,,,,,
"1209-1301",1209,,"WaterStd","USGS45","USGS45",1,1,"2013-07-15 00:00:00",,"JHU-17O-1209",,,0,,"session.name, July_2013, session.numeric, 2013_07, Reduction.ID, NA, CDW.num, NA, sample.descrip, USGS45-012113, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, double injection, v. 3 was open for first injection, O2.yield, 340.5, O2.resid, 60, comments, double injection, v. 3 was open for first injection",,,,,,,,,,-19.1052028985507,0.0334517122177382,-36.4647391304348,0.016891219589856,,,,,-19.1053983835646,-36.4647391304348,-36.4647391304348
"1209-1301",1210,,"WaterStd","USGS45","USGS45",1,2,"2013-07-15 00:00:00",,"JHU-17O-1210",,,0,,"session.name, July_2013, session.numeric, 2013_07, Reduction.ID, NA, CDW.num, NA, sample.descrip, USGS45-012113, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, double injection, v. 3 was open for first injection, O2.yield, 326.5, O2.resid, 65, comments, double injection, v. 3 was open for first injection",,,,,,,,,,-19.088768115942,0.0303606483536985,-36.4118405797101,0.0138081638132767,,,,,-19.0862634095837,-36.4107824382109,-36.4118405797101
"1209-1301",1211,,"WaterStd","SMOW","SMOW",1,1,"2013-07-15 00:00:00",,"JHU-17O-1211",,,0,,"session.name, July_2013, session.numeric, 2013_07, Reduction.ID, NA, CDW.num, NA, sample.descrip, VSOMW2-052013, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, double injection, v. 3 was open for first injection, O2.yield, 368.5, O2.resid, 71, comments, double injection, v. 3 was open for first injection",,,,,,,,,,-17.8895362318841,0.0196645244256406,-34.155884057971,0.00988988822854163,,,,,-17.892354916364,-34.155884057971,-34.155884057971
"1209-1301",1212,,"Water","Sample",,0,,"2013-07-16 00:00:00",,"JHU-17O-1212",,,0,,"session.name, July_2013, session.numeric, 2013_07, Reduction.ID, NA, CDW.num, NA, sample.descrip, USABAL-130428-Coopwater, replicate.set, NA, project, Huanting, flag_normalize, 0, flag notes, NA, comments, double injection, v. 3 was open for first injection, O2.yield, 191.4, O2.resid, 58, comments, double injection, v. 3 was open for first injection",,,,,,,,,,-20.8097826086956,0.0718803887115947,-39.7587391304348,0.0278998482885992,,,,,-20.86753494996,-39.7809919711548,-39.7587391304348
"1209-1301",1213,,"Water","Sample",,0,,"2013-07-16 00:00:00",,"JHU-17O-1213",,,0,,"session.name, July_2013, session.numeric, 2013_07, Reduction.ID, NA, CDW.num, NA, sample.descrip, USABAL-130428-Coopwater, replicate.set, NA, project, Huanting, flag_normalize, 0, flag notes, NA, comments, double injection, v. 3 was open for first injection, O2.yield, 309, O2.resid, 108, comments, double injection, v. 3 was open for first injection",,,,,,,,,,-21.1459275362319,0.0234328319449065,-40.2964927536232,0.00987215809949126,,,,,-21.1410165690113,-40.2928638414758,-40.2964927536232
"1209-1301",1215,,"Water","Sample",,0,,"2013-07-16 00:00:00",,"JHU-17O-1215",,,0,,"session.name, July_2013, session.numeric, 2013_07, Reduction.ID, NA, CDW.num, NA, sample.descrip, USABAL-130428-refill, replicate.set, NA, project, Huanting, flag_normalize, 0, flag notes, NA, comments, double injection, v. 3 was open for first injection, O2.yield, 295, O2.resid, 59, comments, double injection, v. 3 was open for first injection",,,,,,,,,,-21.5384782608696,0.0263609608276042,-41.0210724637681,0.0100166315234148,,,,,-21.5384782608696,-41.0174289469922,-41.0210724637681
"1209-1301",1216,,"Water","Sample",,0,,"2013-07-16 00:00:00",,"JHU-17O-1216",,,0,,"session.name, July_2013, session.numeric, 2013_07, Reduction.ID, NA, CDW.num, NA, sample.descrip, USABAL-130611-remainder, replicate.set, NA, project, Huanting, flag_normalize, 0, flag notes, NA, comments, double injection, v. 3 was open for first injection, O2.yield, 343.4, O2.resid, 56, comments, double injection, v. 3 was open for first injection",,,,,,,,,,-21.4868550724638,0.0266989068746924,-40.9204347826087,0.0100943756338536,,,,,-21.4868550724638,-40.9204347826087,-40.9204347826087
"1209-1301",1217,,"Water","Sample",,0,,"2013-07-16 00:00:00",,"JHU-17O-1217",,,0,,"session.name, July_2013, session.numeric, 2013_07, Reduction.ID, NA, CDW.num, NA, sample.descrip, USABAL-130611-refill, replicate.set, NA, project, Huanting, flag_normalize, 0, flag notes, NA, comments, double injection, v. 3 was open for first injection, O2.yield, 275, O2.resid, 90, comments, double injection, v. 3 was open for first injection",,,,,,,,,,-21.3637971014493,0.0362664079337345,-40.6908550724638,0.0147032162971229,,,,,-21.3596940815197,-40.6889898443201,-40.6908550724638
"1209-1301",1218,,"WaterStd","SMOW","SMOW",2,2,"2013-07-17 00:00:00",,"JHU-17O-1218",,,0,,"session.name, July_2013, session.numeric, 2013_07, Reduction.ID, NA, CDW.num, NA, sample.descrip, VSMOW2-052013-4, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, double injection, v. 3 was open for first injection, O2.yield, 329, O2.resid, 80, comments, double injection, v. 3 was open for first injection",,,,,,,,,,-18.089231884058,0.0280016516989394,-34.5418405797101,0.0133588736629003,,,,,-18.0790415473895,-34.5376748038793,-34.5418405797101
"1209-1301",1219,,"WaterStd","SMOW","SMOW",2,3,"2013-07-17 00:00:00",,"JHU-17O-1219",,,0,,"session.name, July_2013, session.numeric, 2013_07, Reduction.ID, NA, CDW.num, NA, sample.descrip, VSMOW2-052013-4, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, double injection, v. 3 was open for first injection, O2.yield, 255, O2.resid, 85, comments, double injection, v. 3 was open for first injection",,,,,,,,,,-18.2424347826087,0.030010036684254,-34.8129130434783,0.0144219390986702,,,,,-18.2360967822898,-34.808467616765,-34.8129130434783
