"reactor.ID","IPL.num","User","Type.1","Type.2","sample.ID","group.num","rep.num","Date.Time","Data.File","IPL.ID","Name.full","flag.major","flag.analysis","primes","comments","version","d17O","d.17O","d17O.err","d18O","d.18O","d18O.err","CAP.17O","CAP17O.err","d33","d33.err","d34","d34.err","d35","d35.err","d36","d36.err","33.mismatch.R2","34.mismatch.R2","d.18O.prelim"
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2116-2234",2116,,"WaterStd","SMOW","SMOW",1,1,"2015-06-05 00:00:00",,"JHU-17O-2116",,,1,,"session.name, June_2015, session.numeric, 2015_06, Reduction.ID, NA, CDW.num, NA, sample.descrip, VSMOW2-052013-2a, replicate.set, 1, project, NA, flag_normalize, 1, flag notes, 1st analysis, comments, NA, O2.yield, NA, O2.resid, NA, comments, NA",,,,,,,,,,-18.048,0.0219789095218147,-34.5388571428572,0.0243580095533186,,,,,-18.048,-34.5388571428572,-34.5388571428572
"2116-2234",2117,,"WaterStd","SMOW","SMOW",1,2,"2015-06-05 00:00:00",,"JHU-17O-2117",,,0,,"session.name, June_2015, session.numeric, 2015_06, Reduction.ID, NA, CDW.num, NA, sample.descrip, VSMOW2-052013-2a, replicate.set, 1, project, NA, flag_normalize, 0, flag notes, changed to include, don't see justification for leaving it out, comments, NA, O2.yield, NA, O2.resid, NA, comments, NA",,,,,,,,,,-17.9680142857143,0.0187473614430566,-34.3660714285714,0.0144756881927685,,,,,-17.9680142857143,-34.3660714285714,-34.3660714285714
"2116-2234",2118,,"WaterStd","SMOW","SMOW",1,3,"2015-06-06 00:00:00",,"JHU-17O-2118",,,0,,"session.name, June_2015, session.numeric, 2015_06, Reduction.ID, NA, CDW.num, NA, sample.descrip, VSMOW2-052013-2a, replicate.set, 1, project, NA, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, NA, O2.resid, NA, comments, NA",,,,,,,,,,-17.9746571428571,0.0211344116084946,-34.3649571428571,0.0230452835341137,,,,,-17.9746571428571,-34.3649571428571,-34.3649571428571
"2116-2234",2119,,"WaterStd","SMOW","SMOW",1,4,"2015-06-06 00:00:00",,"JHU-17O-2119",,,0,,"session.name, June_2015, session.numeric, 2015_06, Reduction.ID, NA, CDW.num, NA, sample.descrip, VSMOW2-052013-2a, replicate.set, 1, project, NA, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, NA, O2.resid, NA, comments, NA",,,,,,,,,,-18.0646285714286,0.0259560226897655,-34.5186285714286,0.00845477556258414,,,,,-18.0646285714286,-34.5186285714286,-34.5186285714286
"2116-2234",2120,,"WaterStd","SLAP","SLAP",1,1,"2015-06-06 00:00:00",,"JHU-17O-2120",,,0,,"session.name, June_2015, session.numeric, 2015_06, Reduction.ID, NA, CDW.num, NA, sample.descrip, SLAP2-051613-1b, replicate.set, 1, project, NA, flag_normalize, 1, flag notes, 1st analysis, comments, NA, O2.yield, NA, O2.resid, NA, comments, NA",,,,,,,,,,-45.6788285714286,0.0234100012249014,-85.3370714285714,0.0134728082873249,,,,,-45.6766569680354,-85.3370714285714,-85.3370714285714
"2116-2234",2121,,"WaterStd","SLAP","SLAP",1,2,"2015-06-06 00:00:00",,"JHU-17O-2121",,,0,,"session.name, June_2015, session.numeric, 2015_06, Reduction.ID, NA, CDW.num, NA, sample.descrip, SLAP2-051613-1b, replicate.set, 1, project, NA, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, NA, O2.resid, NA, comments, NA",,,,,,,,,,-45.6607428571429,0.023015864543917,-85.3189428571429,0.0265034237407026,,,,,-45.6607428571429,-85.3189428571429,-85.3189428571429
"2116-2234",2122,,"WaterStd","SLAP","SLAP",1,3,"2015-06-07 00:00:00",,"JHU-17O-2122",,,0,,"session.name, June_2015, session.numeric, 2015_06, Reduction.ID, NA, CDW.num, NA, sample.descrip, SLAP2-051613-1b, replicate.set, 1, project, NA, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, NA, O2.resid, NA, comments, NA",,,,,,,,,,-45.8286142857143,0.0307775058350159,-85.6302857142857,0.0468906043730297,,,,,-45.8286142857143,-85.6302857142857,-85.6302857142857
"2116-2234",2123,,"CO2Std","Tank#2 CO2","Tank#2 CO2",1,1,"2015-06-07 00:00:00",,"JHU-17O-2123",,,1,,"session.name, June_2015, session.numeric, 2015_06, Reduction.ID, JHU-CDW-611, CDW.num, 611, sample.descrip, Tank #2 CO2, replicate.set, 1, project, NA, flag_normalize, 1, flag notes, 1st analysis, comments, Long collection (1hr) with Fe wire catalyzer, O2.yield, NA, O2.resid, NA, comments, Long collection (1hr) with Fe wire catalyzer",,,,,,,,,,-4.82527142857143,0.0266359903783744,-9.4175,0.0106617968956212,,,,,-4.82580583819929,-9.4175,-9.4175
"2116-2234",2124,,"CO2Std","Tank#2 CO2","Tank#2 CO2",1,2,"2015-06-08 00:00:00",,"JHU-17O-2124",,,1,,"session.name, June_2015, session.numeric, 2015_06, Reduction.ID, JHU-CDW-613, CDW.num, 613, sample.descrip, Tank #2 CO2, replicate.set, 1, project, NA, flag_normalize, 1, flag notes, Long collection (1hr) with Fe wire catalyzer, comments, first sample with new Fe powder catalyzer primed with 5 ml CO2, O2.yield, NA, O2.resid, NA, comments, first sample with new Fe powder catalyzer primed with 5 ml CO2",,,,,,,,,,-3.12125714285714,0.0198718253060404,-6.22705714285714,0.0104948375359904,,,,,-3.11544394503805,-6.22705714285714,-6.22705714285714
"2116-2234",2125,,"CO2Std","Tank#2 CO2","Tank#2 CO2",1,3,"2015-06-09 00:00:00",,"JHU-17O-2125",,,0,,"session.name, June_2015, session.numeric, 2015_06, Reduction.ID, JHU-CDW-614, CDW.num, 614, sample.descrip, Tank #2 CO2, replicate.set, 1, project, NA, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, NA, O2.resid, NA, comments, NA",,,,,,,,,,-3.28484285714286,0.0174651916466628,-6.53577142857143,0.0102224127566484,,,,,-3.28484285714286,-6.53577142857143,-6.53577142857143
"2116-2234",2126,,"CO2Std","Tank#2 CO2","Tank#2 CO2",1,4,"2015-06-09 00:00:00",,"JHU-17O-2126",,,0,,"session.name, June_2015, session.numeric, 2015_06, Reduction.ID, JHU-CDW-615, CDW.num, 615, sample.descrip, Tank #2 CO2, replicate.set, 1, project, NA, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, NA, O2.resid, NA, comments, NA",,,,,,,,,,-3.16378571428572,0.0246446589193382,-6.30771428571428,0.00841348616700604,,,,,-3.16204499703185,-6.30771428571428,-6.30771428571428
"2116-2234",2127,,"modern eggshell",,"USABAL-Bird-2",0,1,"2015-06-09 00:00:00",,"JHU-17O-2127",,,1,,"session.name, June_2015, session.numeric, 2015_06, Reduction.ID, JHU-CDW-616, CDW.num, 616, sample.descrip, USABAL-Bird-2, replicate.set, 1, project, bird eggshell, flag_normalize, 1, flag notes, NA, comments, high N2 peak, O2.yield, NA, O2.resid, NA, comments, high N2 peak",,,,,,,,,,-2.06754285714286,0.0266565301645597,-4.10902857142857,0.0085820362243289,,,,,-2.06796794369605,-4.10902857142857,-4.10902857142857
"2116-2234",2128,,"modern eggshell",,"USABAL-Bird-2",0,2,"2015-06-09 00:00:00",,"JHU-17O-2128",,,1,,"session.name, June_2015, session.numeric, 2015_06, Reduction.ID, JHU-CDW-617, CDW.num, 617, sample.descrip, USABAL-Bird-2, replicate.set, 1, project, bird eggshell, flag_normalize, 1, flag notes, NA, comments, bad pre-reduction, O2.yield, NA, O2.resid, NA, comments, bad pre-reduction",,,,,,,,,,-1.87292857142857,0.0199130875531802,-3.76012857142857,0.00927662080618694,,,,,-1.86946722249225,-3.76012857142857,-3.76012857142857
"2116-2234",2129,,"modern eggshell",,"USABAL-Bird-2",0,3,"2015-06-09 00:00:00",,"JHU-17O-2129",,,0,,"session.name, June_2015, session.numeric, 2015_06, Reduction.ID, JHU-CDW-618, CDW.num, 618, sample.descrip, USABAL-Bird-2, replicate.set, 1, project, bird eggshell, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, NA, O2.resid, NA, comments, NA",,,,,,,,,,-1.45142857142857,0.0213959033249131,-2.9733,0.00817445650367256,,,,,-1.45142857142857,-2.9733,-2.9733
"2116-2234",2130,,"modern eggshell",,"USABAL-Bird-3",0,1,"2015-06-10 00:00:00",,"JHU-17O-2130",,,0,,"session.name, June_2015, session.numeric, 2015_06, Reduction.ID, JHU-CDW-619, CDW.num, 619, sample.descrip, USABAL-Bird-3, replicate.set, 1, project, bird eggshell, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, NA, O2.resid, NA, comments, NA",,,,,,,,,,-2.23737142857143,0.022208610047647,-4.50075714285714,0.00921944340217789,,,,,-2.23790138827133,-4.50075714285714,-4.50075714285714
"2116-2234",2131,,"modern eggshell",,"USABAL-Bird-3",0,2,"2015-06-10 00:00:00",,"JHU-17O-2131",,,0,,"session.name, June_2015, session.numeric, 2015_06, Reduction.ID, JHU-CDW-620, CDW.num, 620, sample.descrip, USABAL-Bird-3, replicate.set, 1, project, bird eggshell, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, NA, O2.resid, NA, comments, NA",,,,,,,,,,-1.80104285714286,0.0236284253489743,-3.66791428571428,0.00785695087286626,,,,,-1.79967046898108,-3.66791428571428,-3.66791428571428
"2116-2234",2132,,"modern eggshell",,"USABAL-Bird-4",0,1,"2015-06-10 00:00:00",,"JHU-17O-2132",,,0,,"session.name, June_2015, session.numeric, 2015_06, Reduction.ID, JHU-CDW-621, CDW.num, 621, sample.descrip, USABAL-Bird-4, replicate.set, 1, project, bird eggshell, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, NA, O2.resid, NA, comments, NA",,,,,,,,,,-1.11964285714286,0.01996811640786,-2.33524285714286,0.00944616433818159,,,,,-1.11964285714286,-2.33680843126968,-2.33524285714286
"2116-2234",2133,,"modern eggshell",,"USABAL-Bird-4",0,2,"2015-06-10 00:00:00",,"JHU-17O-2133",,,1,,"session.name, June_2015, session.numeric, 2015_06, Reduction.ID, JHU-CDW-622, CDW.num, 622, sample.descrip, USABAL-Bird-4, replicate.set, 1, project, bird eggshell, flag_normalize, 1, flag notes, NA, comments, high N2 peak, O2.yield, NA, O2.resid, NA, comments, high N2 peak",,,,,,,,,,-1.90657142857143,0.0227580668472799,-3.83581428571429,0.0102777272302116,,,,,-1.90376509980822,-3.83581428571429,-3.83581428571429
"2116-2234",2134,,"modern eggshell",,"USABAL-Bird-5",0,1,"2015-06-10 00:00:00",,"JHU-17O-2134",,,0,,"session.name, June_2015, session.numeric, 2015_06, Reduction.ID, JHU-CDW-623, CDW.num, 623, sample.descrip, USABAL-Bird-5, replicate.set, 1, project, bird eggshell, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, NA, O2.resid, NA, comments, NA",,,,,,,,,,-2.191,0.021379930993232,-4.39228571428571,0.00877932825191456,,,,,-2.191,-4.39228571428571,-4.39228571428571
"2116-2234",2135,,"modern eggshell",,"USABAL-Bird-5",0,2,"2015-06-11 00:00:00",,"JHU-17O-2135",,,1,,"session.name, June_2015, session.numeric, 2015_06, Reduction.ID, JHU-CDW-624, CDW.num, 624, sample.descrip, USABAL-Bird-5, replicate.set, 1, project, bird eggshell, flag_normalize, 1, flag notes, NA, comments, New He tank changed, opened the system to the atm for a long while to fix the leak, O2.yield, NA, O2.resid, NA, comments, New He tank changed, opened the system to the atm for a long while to fix the leak",,,,,,,,,,-2.82498571428571,0.0216142014889318,-5.61114285714286,0.0104663514873884,,,,,-2.82498571428571,-5.61114285714286,-5.61114285714286
"2116-2234",2136,,"modern eggshell",,"USABAL-Bird-6",0,1,"2015-06-11 00:00:00",,"JHU-17O-2136",,,0,,"session.name, June_2015, session.numeric, 2015_06, Reduction.ID, JHU-CDW-625, CDW.num, 625, sample.descrip, USABAL-Bird-6, replicate.set, 1, project, bird eggshell, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, NA, O2.resid, NA, comments, NA",,,,,,,,,,-1.42255714285714,0.0224742272452058,-2.91444285714286,0.00780307578576724,,,,,-1.41797535945916,-2.91444285714286,-2.91444285714286
"2116-2234",2137,,"modern eggshell",,"USABAL-Bird-6",0,2,"2015-06-11 00:00:00",,"JHU-17O-2137",,,0,,"session.name, June_2015, session.numeric, 2015_06, Reduction.ID, JHU-CDW-626, CDW.num, 626, sample.descrip, USABAL-Bird-6, replicate.set, 1, project, bird eggshell, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, NA, O2.resid, NA, comments, NA",,,,,,,,,,-1.02145714285714,0.0261177299512301,-2.16427142857143,0.0100692118318721,,,,,-1.02145714285714,-2.16427142857143,-2.16427142857143
"2116-2234",2138,,"modern eggshell",,"USABAL-Bird-7",0,1,"2015-06-11 00:00:00",,"JHU-17O-2138",,,0,,"session.name, June_2015, session.numeric, 2015_06, Reduction.ID, JHU-CDW-627, CDW.num, 627, sample.descrip, USABAL-Bird-7, replicate.set, 1, project, bird eggshell, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, NA, O2.resid, NA, comments, NA",,,,,,,,,,-1.16335714285714,0.0215642186955686,-2.35224285714286,0.0101345094392131,,,,,-1.16335714285714,-2.35224285714286,-2.35224285714286
"2116-2234",2139,,"modern eggshell",,"USABAL-Bird-7",0,2,"2015-06-12 00:00:00",,"JHU-17O-2139",,,0,,"session.name, June_2015, session.numeric, 2015_06, Reduction.ID, JHU-CDW-628, CDW.num, 628, sample.descrip, USABAL-Bird-7, replicate.set, 1, project, bird eggshell, flag_normalize, 0, flag notes, NA, comments, NA, O2.yield, NA, O2.resid, NA, comments, NA",,,,,,,,,,-1.65504285714286,0.023801982449578,-3.30995714285714,0.00997160565077957,,,,,-1.65298498700569,-3.30995714285714,-3.30995714285714
